,contacts,lat,lon
26,"ChirkinGY@ca.customs.ru
 (4754) 52-35-28
 (4754) 52-02-90
 http://cet.customs.ru/",52.897737,40.474143
27,"(495) 913-93-91
 (499) 449-73-60
 Дежурная служба: (499) 449-73-83
 http://customs.ru/index.php?option=com_content&view=article&id=15466&Itemid=2211",55.749653,37.50858
28,"kinolog-custom@mail.ru
 (495) 221-85-79
 (495) 221-85-77
 http://customs.ru/index.php?option=com_content&view=article&id=15143&Itemid=2189",56.030663,38.108798
29,"cat@ca.customs.ru
 (495) 915-58-37
 (495) 915-37-59
 Дежурная служба: (495) 915-81-27; Телефон доверия: (495) 915-81-54; Приемная: (495) 915-81-28; (495) 915-81-33
 http://cat.customs.ru",55.746497,37.647001
30,"(495) 780-69-52
 http://cat.customs.ru",55.973098,37.494862
31,"(495) 720-49-87
 (495) 720-49-84
 http://cat.customs.ru",55.514019,36.979876
32,"(495) 926-53-98
 http://cat.customs.ru",55.303109,36.188703
33,"(495) 657-92-37
 http://cat.customs.ru",55.465846,37.743615
34,"(495) 580-57-08
 http://cat.customs.ru",55.124454,37.939556
35,"(495) 223-29-70, (495) 223-29-76
 http://cat.customs.ru",55.849797,37.497441
36,"(495) 737-44-47
 http://cat.customs.ru",55.994894,37.344179
37,http://cat.customs.ru,55.657042,37.369691
38,"(4832) 52-26-55
 (4832) 61-07-07
 http://cat.customs.ru",53.226875,34.404236
39,"(495) 669-21-42
 http://cat.customs.ru",56.374576,38.700779
40,"(4842) 71-38-47
 http://cat.customs.ru",54.503098,36.066487
41,"(812) 337-57-38
 http://cat.customs.ru",60.070828,30.378831
42,"(81148) 2-33-54
 http://cat.customs.ru",57.834581,27.617967
43,"(496) 402-45-44
 http://cat.customs.ru",55.392178,39.003772
44,"(4812) 42-24-69
 (4812) 47-51-09
 http://cat.customs.ru",54.912123,32.051521
45,"(863) 206-15-74
 (863) 206-15-71, (863) 206-15-73, (863) 206-15-76
 http://cat.customs.ru",47.066954,39.74781
46,http://cat.customs.ru,44.939293,34.099698
47,"(3652) 66-89-08
 Телефон доверия: (3652) 66-89-35; приемная: (3652) 66-89-04; Для приёма корреспонденции: (3652) 66-89-10
 http://crimea.customs.ru",44.948314,34.100156
48,"(36565) 2-18-51
 http://crimea.customs.ru",45.9641,33.782871
49,"(3652) 59-50-41
 http://crimea.customs.ru",44.948314,34.100156
50,"(36569) 6-22-12
 http://crimea.customs.ru",45.191677,33.373985
51,"(3654) 35-06-38
 http://crimea.customs.ru",44.495093,34.172614
52,"(36562) 3-56-24
 http://crimea.customs.ru",45.025629,35.387298
53,"(36561) 5-26-07
 http://crimea.customs.ru",45.366111,36.482632
54,"(3652) 59-50-43; (3652) 59-54-26
 http://crimea.customs.ru",44.948314,34.100156
55,"(3652) 59-59-85
 http://crimea.customs.ru",45.709282,34.388371
56,"(8692) 54-35-66
 Телефон доверия: (8692) 92-11-51; Должностное лицо по связям с общественностью: (8692) 92-11-63
 http://sevastopol.customs.ru",44.616655,33.526447
57,"(8692) 92-11-56
 http://sevastopol.customs.ru",44.627318,33.552821
58,"(8692) 92-02-81
 http://sevastopol.customs.ru",44.616687,33.525432
59,"svc-odo@ca.customs.ru
 (4012) 60-92-29
 (4012) 60-92-27
 Телефон доверия: (4012) 60-93-55; Пресс-служба: (4012) 60-94-31; Для обращения граждан: (4012) 60-94-65
 http://koblt.customs.ru",54.70752,20.488919
60,"svc-del-bgr@ca.customs.ru
 (4015) 66-13-72 
 http://koblt.customs.ru",54.384863,20.668501
61,"svc-del-klg@ca.customs.ru
 (4012) 60-98-29
 (4012) 59-70-31
 http://koblt.customs.ru",54.755758,20.562805
62,"svc-del-mam@ca.customs.ru
 (4012) 68-64-58
 (40156) 3-38-80
 http://koblt.customs.ru",54.461854,20.134165
63,"svc-del-msk@ca.customs.ru
 (4012) 60-97-28
 (4012) 73-21-33
 http://koblt.customs.ru",54.647599,20.543393
64,"svc-del-sov@ca.customs.ru
 (40161) 3-72-25
 (40161) 3-19-00
 http://koblt.customs.ru",55.085069,21.884505
65,"svc-del-hra@ca.customs.ru
 (4012) 60-91-09
 (4012) 53-99-22
 http://koblt.customs.ru",54.895952,20.573944
66,"svc-del-mpb@ca.customs.ru
 (40145) 6-11-00
 (40145) 6-11-00
 http://koblt.customs.ru",54.644072,19.892177
67,"svc-del-pgr@ca.customs.ru
 (4016) 42-28-32
 (4016) 42-23-36
 http://koblt.customs.ru",54.878842,22.506059
68,"svc-del-nes@ca.customs.ru
 (40144) 2-25-35
 (40144) 2-25-35
 http://koblt.customs.ru",54.629664,22.578301
69,"svc-del-mbgr@ca.customs.ru
 (40156) 3-29-27
 (40156) 3-29-27
 http://koblt.customs.ru",54.383725,20.743052
70,"svc-del-gus@ca.customs.ru
 (40144) 9-27-22
 (40144) 9-27-22
 http://koblt.customs.ru",54.45627,22.361897
71,"svc-del-mmn@ca.customs.ru
 (40156) 4-04-54
 http://koblt.customs.ru",54.464623,19.945438
72,"svc-del-mmn2@ca.customs.ru
 (40156) 3-38-69
 (40156) 3-28-10
 http://koblt.customs.ru",54.461854,20.134165
73,"svc-del-mor@ca.customs.ru
 (4012) 8344-28
 http://koblt.customs.ru",55.229491,20.916984
74,"svc-del-msov@ca.customs.ru
 (40161) 3-10-71
 (40161) 3-11-71
 http://koblt.customs.ru",55.082163,21.906002
75,"svc-del-chrn@ca.customs.ru
 (40144) 9-28-91
 (40144) 9-28-61
 http://koblt.customs.ru",54.640055,22.733431
76,"svc-del-mpk@ca.customs.ru
 (4012) 60-91-09
 (4012) 60-91-08
 http://koblt.customs.ru",54.698686,20.475713
77,"svc-del-sve@ca.customs.ru
 (40152) 3-54-64
 (40152) 3-54-64
 http://koblt.customs.ru",54.940929,20.131093
78,"svc-del-cnt@ca.customs.ru
 (4012) 60-98-19
 (4012) 60-98-18
 http://koblt.customs.ru",54.755758,20.562805
79,"svc-del-crh@ca.customs.ru
 (40141) 5-42-32
 (40141) 5-42-33
 http://koblt.customs.ru",54.624077,21.77598
80,"svc-del-katp@ca.customs.ru
 (4012) 56-01-52
 http://koblt.customs.ru",54.378382,20.650283
81,"ctu-info@ctu.customs.ru
 (499) 975-36-79
 (499) 975-19-18
 Телефон доверия: (499) 975-10-56, Телефон для СМИ: (495) 276-30-22, (495) 276-38-53, (495) 276-30-70, Информирование и консультирование по вопросам таможенного дела: (499) 975-42-84 (автоинформатор), (495) 276-39-76, (495) 276-35-76
 http://ctu.customs.ru",55.775722,37.653954
82,"snacheva-pttp@mtu.customs.ru
 (4842) 59-70-16
 (4842) 79-49-96
 http://ctu.customs.ru",54.568255,36.328625
83,"BELG-ODO_9@ctu.customs.ru
 (4722) 32-01-83
 (4722) 27-16-44
 Телефон доверия: (4722) 35-63-73; Телефон доверия: (4722) 35-62-62
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.593093,36.591301
84,"belg-alk-main@ctu.customs.ru
 (47234) 3-07-34
 (47234) 3-42-83
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.618966,38.68275
85,"belg-vlk-main@ctu.customs.ru
 (47236) 3-50-92
 (47236) 3-69-17
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.214019,38.113353
86,"belg-btp-main@ctu.customs.ru
 (4722) 21-54-81
 (4722) 21-54-81
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.593116,36.673488
87,"belg-grv-main@ctu.customs.ru
 (47261) 4-40-71
 (47261) 4-40-83
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.482349,35.674876
88,"belg-gbn-main@ctu.customs.ru
 (47241) 9-32-55
 (47241) 9-32-55
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.872231,37.303198
89,"belg-nvo-main@ctu.customs.ru
 (47233) 4-49-79
 (47233) 4-42-17
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.747019,37.878793
90,"belg-prt-main@ctu.customs.ru
 (47245) 3-50-59
 (47245) 3-58-88
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.792335,35.771606
91,"belg-rvk-main@ctu.customs.ru
 (47238) 5-61-77
 (47238) 5-64-53
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.039274,38.986102
92,"belg-sto-main@ctu.customs.ru
 (4725) 46-94-66
 (4725) 46-94-66
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",51.223834,37.921742
93,"belg-shb-main@ctu.customs.ru
 (47248) 2-36-57
 (47248) 4-09-70
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.488109,37.062234
94,"belg-neh-main@ctu.customs.ru
 (4722) 30-60-29
 (4722) 30-60-27
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=27&Itemid=96",50.424371,36.497346
95,"ods3@mtu.customs.ru
 (4832) 67-17-41, 67-17-27
 (4832) 67-17-58; (4832) 67-17-27 
 Дежурная служба: (4832) 67-17-58; Телефон доверия: (4832) 67-74-03
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",53.26133,34.341506
96,"Yachmeneva@bryansk.mtu.customs.ru
 (4832) 26-01-92
 (4832) 26-01-92
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",53.263247,34.403023
97,"brn-ain@bryansk.mtu.customs.ru
 (4832) 67-17-27
 (4832) 67-17-27
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",53.212641,34.418752
98,"kli-Rygenko@bryansk.mtu.customs.ru
 (48347) 2-17-99
 (48347) 2-11-37
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",52.126464,31.868364
99,"MEYKUP@mtu.customs.ru
 (48343) 3-04-27
 (48343) 3-04-27
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",52.382541,32.188712
100,"kozlova_j@bryansk.mtu.customs.ru
 (48349) 2-16-93
 (48349) 2-16-93
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",52.554314,33.263079
101,"sevsk_tp@bryansk.mtu.customs.ru
 (48356) 9-56-31
 (48356) 9-56-31
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",49.02753,31.482771
102,"brn-nis@bryansk.mtu.customs.ru
 (4832) 67-06-17
 (4832) 67-06-17
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",48.25371,37.518389
103,"brn-fok-mgv@bryansk.mtu.customs.ru
 (4832) 73-70-33
 (4832) 60-36-95
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",53.211061,34.411566
104,"pog_bnp@bryansk.mtu.customs.ru
 (48349) 9-65-29
 (48349) 9-65-27
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",52.446215,33.226688
105,"brn-ced@bryansk.mtu.customs.ru
 (4832) 72-17-65
 (4832) 66-25-25
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=26&Itemid=95",53.248497,34.350858
106,"vlad-ctu@vladimir.ru
 (4922) 45-18-08
 (4922) 40-21-27
 Телефон доверия: (4922) 45-18-05; Пресс-секретарь: (4922) 40-21-78
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",56.146182,40.392684
107,"ctu_vlad_ALXpost@regions.eais.customs.ru
 (49244) 6-15-12
 (49244) 6-15-38
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",56.374576,38.700779
108,"(4922) 45-30-72
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",56.166982,40.414585
109,"(49241) 2-72-42
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",55.624291,40.637062
110,"(49243) 2-29-56
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",55.924275,39.417194
111,"(49232) 2-35-27
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",56.383468,41.314993
112,"(49245) 2-20-69
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",56.28343,39.338466
113,"(49234) 4-96-85
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",55.579632,42.001144
114,"(4922) 40-21-10
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",56.146182,40.392684
115,"ivn-TPIv@ivcust.mtu.customs.ru
 (4932) 38-75-66
 (4932) 38-75-68
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",56.99392,40.914713
116,"ivn-TPKinesma@ivcust.mtu.customs.ru
 (49331) 4-01-29
 (49331) 4-01-29
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",57.450216,42.092458
117,"ivn-TPS@ivcust.mtu.customs.ru
 (49351)  4-11-26
 (49351)  4-11-26
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=28&Itemid=97",56.851786,41.374965
118,"vrn-odo3@ctu.customs.ru
 (473) 277-73-90
 (473) 277-27-97
 Приемная начальника таможни: (473) 277-58-93; Телефон доверия: (473) 269-88-93; Пресс-секретарь: (473) 269-88-16
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=47&Itemid=94",51.6715,39.180479
119,"(473267) 6-40-55
 (473267) 6-40-50
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=47&Itemid=94",49.785221,39.842645
120,"(473) 221-98-68
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=47&Itemid=94",51.651248,39.29329
121,"(47396) 5-16-68
 (47396) 5-16-37
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=47&Itemid=94",50.209724,39.498483
122,"(473) 253-33-24
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=47&Itemid=94",51.661535,39.200287
123,"(473) 269-88-80
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=47&Itemid=94",51.669255,39.126014
124,"(473) 269-88-87
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=47&Itemid=94",51.637729,39.263564
125,"(4752) 72-03-37
 (4752) 72-70-77
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=47&Itemid=94",52.707559,41.438853
126,"klg-office@ctu.customs.ru
 (4842) 71-57-29
 (4842) 71-57-27
 Приемная начальника: (4842) 71-57-28; Для обращения граждан: (4842) 71-57-40; Телефон доверия: (4842) 22-18-40; Пресс-секретарь: (4842) 71-57-95
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=30&Itemid=99",54.516736,36.262886
127,"klg1-oto@ctu.customs.ru
 (4842) 71-38-10
 (4842) 71-38-01
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=30&Itemid=99",54.503098,36.066487
128,"klg-obn@ctu.customs.ru
 (48438) 2-60-18
 (48438) 2-60-16
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=30&Itemid=99",55.249043,36.660166
129,"klg-vw@ctu.customs.ru
 (4842) 71-15-91
 (4842) 71-15-90
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=30&Itemid=99",54.572467,36.356437
130,"klg-bor@ctu.customs.ru
 (48438) 6-26-84
 (48438) 6-26-85
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=30&Itemid=99",54.545731,36.35535
131,"PintyukhovIA@ctu.customs.ru
 (4712) 55-65-17
 (4712) 55-65-64
 Телефон доверия: (4712) 56-05-46, Информирование и консультирование по вопросам таможенного дела: (4712) 52-08-42, (4712) 52-07-54 (автоинформатор)
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",51.74455,36.180501
132,"kur-gl-post@ctu.customs.ru
 (47132) 2-14-81
 (47132) 2-11-95
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",51.334694,34.642855
133,"kur-zh-post@ctu.customs.ru
 (47148) 3-54-69
 (47148) 3-08-15
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",52.368846,35.38057
134,"kur-ku-post@ctu.customs.ru
 (4712) 31-23-09
 (4712) 31-23-09
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",51.23318,35.287414
135,"kur-mk-post@ctu.customs.ru
 (47152) 2-63-29
 (47152) 2-63-12
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",51.593448,34.583153
136,"kur-ms-post@ctu.customs.ru
 (47143) 2-30-29
 (47143) 2-30-22
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",51.23318,35.287414
137,"kur-mi-post@ctu.customs.ru
 (47143) 2-43-82
 (47143) 2-43-82
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",51.203466,35.316502
138,"kur-kr-post@ctu.customs.ru
 (47152) 6-52-30
 (47152) 6-52-28
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",51.632016,34.206795
139,"kur-orl-post@ctu.customs.ru
 (4862) 72-08-12
 (4862) 74-17-72
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",52.94635,36.029441
140,"kur-ced-post@ctu.customs.ru
 (4712) 55-65-93
 (4712) 55-65-92
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=32&Itemid=101",51.74455,36.180501
141,"SpasskyDV@ctu.сustoms.ru
 (4742) 42-32-64
 (4742) 32-09-46
 Телефон доверия: (4742) 32-03-27, Информирование и консультирование по вопросам таможенного дела: (4742) 42-32-14, (4742) 42-32-44
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=33&Itemid=102",52.625371,39.5478
142,"lipetsk-elec@ctu.customs.ru
 (47467) 6-77-37
 (47467) 6-77-76
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=33&Itemid=102",52.618827,38.557039
143,"lipetsk-nlmk@ctu.customs.ru
 (4742) 44-54-41
 (4742) 44-54-74
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=33&Itemid=102",52.571656,39.622271
144,"PTP-KIS@llpc.mtu.customs.ru
 (4742) 42-32-90
 (4742) 42-32-66
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=33&Itemid=102",52.625371,39.5478
145,"lipetsk-stinol@ctu.customs.ru
 (4742) 42-40-68
 (4742) 42-46-08
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=33&Itemid=102",52.571656,39.622271
146,"lipetsk-lip@ctu.customs.ru
 (4742) 51-94-44
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=33&Itemid=102",52.61022,39.594719
147,"sml-odo@ctu.customs.ru
 (4812) 44-01-74
 (4812) 44-20-33
 Дежурная служба: (4812) 20-09-27; Приемная начальника: (4812) 21-95-44; Телефон доверия: (4812) 20-88-52
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",54.814507,31.977176
148,"sml-vdp@ctu.customs.ru
 (48144) 4-16-88
 (48144) 4-15-77
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",54.981397,33.344969
149,"sml-vzm@ctu.customs.ru
 (48131) 4-17-01
 (48131) 4-17-01
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",55.232905,34.322615
150,"sml-ztpodo@ctu.customs.ru
 (4812) 44-01-24
 (4812) 44-59-49
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",54.814507,31.977176
151,"sml-rsl@ctu.customs.ru
 (48134) 4-07-97
 (48134) 4-18-34
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",53.936714,32.892712
152,"sml-jar@ctu.customs.ru
 (48143) 3-15-32
 (48143) 3-13-55
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",55.04743,32.770919
153,"sml-zatp-d@ctu.customs.ru
 (4812) 20-09-07
 (4812) 20-09-15
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",54.870476,32.077563
154,"sml-ktp@ctu.customs.ru
 (4812) 30-27-25
 (4812) 30-27-29
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",54.538617,31.391475
155,"sml-stb@ctu.customs.ru
 (4812) 47-54-81
 (4812) 20-10-81
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",54.912123,32.051521
156,"(4812) 30-40-00
 (4812) 20-09-15
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=38&Itemid=107",54.912123,32.051521
157,"tvcust@tvcom.ru
 (4822) 33-69-29
 (4822) 33-69-27
 Телефон доверия: (4822) 72-43-88, Автоинформатор: (4822) 33-69-40
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=39&Itemid=109",56.818927,35.884102
158,"tvr-v-vol@ctu.customs.ru
 (48233) 7-15-21
 (48233) 7-15-20
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=39&Itemid=109",57.65619,34.455763
159,"tvr-zap-dv@ctu.customs.ru
 (48265) 2-25-82
 (48265) 2-31-95
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=39&Itemid=109",56.262982,32.066712
160,"tvr-kmr-cvs@ctu.customs.ru
 (48236) 4-61-50
 (48236) 4-61-51
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=39&Itemid=109",56.871616,37.388206
161,"tvr-rg-sv@ctu.customs.ru
 (48232) 6-75-43
 (48232) 2-01-36
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=39&Itemid=109",56.235676,34.338569
162,"tvr-ter@ctu.customs.ru
 (4822) 53-61-38
 (4822) 53-61-35
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=39&Itemid=109",56.825301,35.880177
163,"tvr-ced@ctu.customs.ru
 (4822) 72-43-55
 (4822) 33-69-32
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=39&Itemid=109",56.818927,35.884102
164,"tula@ctu.customs.ru
 (4872) 36-82-03
 (4872) 55-54-24
 Телефон доверия: (4872) 55-53-84, Информирование и консультирование по вопросам таможенного дела: (4872) 36-93-39 (автоинформатор), (4872) 36-82-29, Должностное лицо по связям с общественностью: (4872) 55-54-24
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=40&Itemid=110",54.197073,37.579358
165,"tula-ntp@ctu.customs.ru
 (48762) 3-18-36
 (48762) 3-18-10
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=40&Itemid=110",54.067791,38.257685
166,"tula-ttp@ctu.customs.ru
 (4872) 30-23-24
 (4872) 36-68-43
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=40&Itemid=110",54.195919,37.577256
167,"tula-mtp@ctu.customs.ru
 отсутствует
 (4912) 46-50-80
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=40&Itemid=110",54.629148,39.734928
168,"tula-rtp@ctu.customs.ru
 (4912) 24-33-91
 (4912) 24-33-91
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=40&Itemid=110",54.629148,39.734928
169,"tula-rtpced@ctu.customs.ru
 (4912) 91-17-03
 (4912) 91-17-21
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=40&Itemid=110",54.644004,39.666126
170,"yar-mail-odo@ctu.customs.ru
 (4852) 30-04-86
 (4852) 32-16-24
 Телефон доверия: (4852) 20-08-93
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=42&Itemid=112",57.629614,39.860181
171,"(4852) 49-58-08
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=42&Itemid=112",60.674803,60.396279
172,"(4855) 21-44-87
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=42&Itemid=112",58.06454,38.795327
173,"(4852) 45-45-18
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=42&Itemid=112",57.596446,39.889106
174,"(4582) 30-02-47, (4852) 79-76-20, (4852) 79-76-02, (4852) 79-76-74
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=42&Itemid=112",57.629614,39.860181
175,"(4942) 42-66-83
 http://ctu.customs.ru/index.php?option=com_content&view=section&id=42&Itemid=112",57.774724,41.003493
